Tab,Button,Step,Keys sent by Touch Portal,Elite Dangerous action (internal name),Controls menu section,Controls menu option
FLIGHT,LANDING GEAR,,Left Ctrl + G,LandingGearToggle,Ship Controls › Miscellaneous,Landing Gear
FLIGHT,FA OFF,,Left Ctrl + Z,ToggleFlightAssist,Ship Controls › Flight Miscellaneous,Toggle Flight Assist
FLIGHT,HARDPOINTS,,Left Ctrl + U,DeployHardpointToggle,Ship Controls › Weapons,Deploy Hardpoints
FLIGHT,LIGHTS,,Left Ctrl + L,ShipSpotLightToggle,Ship Controls › Miscellaneous,Ship Lights
FLIGHT,CARGO SCOOP,,Left Ctrl + C,ToggleCargoScoop,Ship Controls › Miscellaneous,Cargo Scoop
FLIGHT,NIGHT VISION,,Left Ctrl + N,NightVisionToggle,Ship Controls › Miscellaneous,Night Vision
FLIGHT,HEAT SINK,,Left Ctrl + H,DeployHeatSink,Ship Controls › Cooling,Deploy Heat Sink
FLIGHT,SILENT RUNNING,,Left Ctrl + S,ToggleButtonUpInput,Ship Controls › Cooling,Silent Running
FLIGHT,JETTISON ALL CARGO,,Left Ctrl + J,EjectAllCargo,Ship Controls › Miscellaneous,Jettison All Cargo
FLIGHT,TARGET NEXT SYSTEM,,Right Ctrl + N,TargetNextRouteSystem,Ship Controls › Targeting,Target Next System in Route
FLIGHT,REQUEST DOCKING,1,Left Ctrl + E,FocusLeftPanel,Ship Controls › Mode Switches,External Panel (left panel)
FLIGHT,REQUEST DOCKING,2,Page Up,CyclePreviousPanel,General Controls › Interface Mode,Previous Panel Tab
FLIGHT,REQUEST DOCKING,3,Page Up,CyclePreviousPanel,General Controls › Interface Mode,Previous Panel Tab
FLIGHT,REQUEST DOCKING,4,D,UI_Right,General Controls › Interface Mode,UI Panel Right
FLIGHT,REQUEST DOCKING,5,Space,UI_Select,General Controls › Interface Mode,UI Panel Select
COMBAT,TARGET POWER PLANT,,"key right of L (Ñ on Spanish, ; on US keyboards)",CyclePreviousSubsystem,Ship Controls › Targeting,Cycle Previous Subsystem
COMBAT,TEAM MATE NAV LOCK,,/,WingNavLock,Ship Controls › Targeting,Wingman Nav-Lock
COMBAT,REQUEST DOCKING,1,Left Ctrl + E,FocusLeftPanel,Ship Controls › Mode Switches,External Panel (left panel)
COMBAT,REQUEST DOCKING,2,Page Up,CyclePreviousPanel,General Controls › Interface Mode,Previous Panel Tab
COMBAT,REQUEST DOCKING,3,Page Up,CyclePreviousPanel,General Controls › Interface Mode,Previous Panel Tab
COMBAT,REQUEST DOCKING,4,D,UI_Right,General Controls › Interface Mode,UI Panel Right
COMBAT,REQUEST DOCKING,5,Space,UI_Select,General Controls › Interface Mode,UI Panel Select
COMBAT,RECALL FIGHTER,,Numpad 0,OrderRequestDock,Ship Controls › Fighter Orders,Recall Fighter
COMBAT,DEFEND,,Numpad 1,OrderDefensiveBehaviour,Ship Controls › Fighter Orders,Defend
COMBAT,ENGAGE AT WILL,,Numpad 2,OrderAggressiveBehaviour,Ship Controls › Fighter Orders,Engage At Will
COMBAT,ATTACK TARGET,,Numpad 3,OrderFocusTarget,Ship Controls › Fighter Orders,Attack Target
COMBAT,MAINTAIN FORMATION,,Numpad 4,OrderHoldFire,Ship Controls › Fighter Orders,Maintain Formation
